id,name,image_url,url,review_count,rating,price,address1,address2,address3,city,state,zip_code,phone
Dwg-RgHUXsBfAi7G0V8LIg,Green Juice Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/dHF2qESxWSTOvF5KhVw_NQ/o.jpg,https://api.yelp.com/v3/businesses/search,201,5.0,$,4316 Broadway,,,New York,NY,10033.0,16469187730.0
2IrwjU67gguqLqQqZ1nFPg,Guadalupe Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/gJAWEJ_wiiCIJ3SsNW8jCA/o.jpg,https://api.yelp.com/v3/businesses/search,673,4.0,$$,597 W 207th St,,,New York,NY,10034.0,12123041083.0
Hoq8s-NePq6_3QxJhR7oNA,Bocaditos Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/-rzuHrKlNn88bi0q2ZZMNg/o.jpg,https://api.yelp.com/v3/businesses/search,402,4.0,$$,4863 Broadway,,,New York,NY,10034.0,16466494212.0
krx3qFc0QFRqLL3fyscJSQ,Cachapas y mas,https://s3-media1.fl.yelpcdn.com/bphoto/UdWx1FIohr0Se9yLV2Yv2w/o.jpg,https://api.yelp.com/v3/businesses/search,355,4.0,$,107 Dyckman St,,,New York,NY,10040.0,12123042224.0
hw8ziubXsFocun6KR04VVg,Malecon Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/Rbb6T8028Zy6_gEo-A1HIA/o.jpg,https://api.yelp.com/v3/businesses/search,711,4.0,$$,4141 Broadway,,,New York,NY,10033.0,12129273812.0
80dIz6llWEew4No641ZQKQ,Burger Heights,https://s3-media1.fl.yelpcdn.com/bphoto/axviiJYXAFkpC4vqSth4ig/o.jpg,https://api.yelp.com/v3/businesses/search,409,4.0,$,177 Wadsworth Ave,,,New York,NY,10033.0,12129511984.0
7lv8jYYurEBFRglhPYALkw,Tampopo Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/EOoVXDWqNeVouY_hjwOeMg/o.jpg,https://api.yelp.com/v3/businesses/search,400,4.0,$$,1 Bennett Ave,,,New York,NY,10033.0,12129230575.0
cyLw0vW5MrsF35-A6Dy03w,Saggio,https://s3-media1.fl.yelpcdn.com/bphoto/lJ1vpf_f2aI-b8FkPdv-lA/o.jpg,https://api.yelp.com/v3/businesses/search,615,4.0,$$,829 W 181st St,,,New York,NY,10033.0,12127953080.0
zWem2SAbFc7lIYR2y9DE0g,Harlem Public,https://s3-media2.fl.yelpcdn.com/bphoto/qcYD7KI9sC6gdunBfURA7Q/o.jpg,https://api.yelp.com/v3/businesses/search,973,4.0,$$,3612 Broadway,,,New York,NY,10031.0,12129399404.0
5gcrlif2enGxj7eKAoz-5g,Terravita,https://s3-media1.fl.yelpcdn.com/bphoto/bKFNofkpDfK4vKFGMV8piQ/o.jpg,https://api.yelp.com/v3/businesses/search,187,4.5,$$,4193 Broadway,,,New York,NY,10033.0,16463704371.0
zZpuUqF0iENnyYd2UYIX6w,Locksmith Bar,https://s3-media2.fl.yelpcdn.com/bphoto/BzUG-2a_fGkRILM7PbFNDQ/o.jpg,https://api.yelp.com/v3/businesses/search,377,4.0,$$,4463 Broadway,,,New York,NY,10040.0,12123049463.0
wZkZmjZEJDraLJgAalnHvA,Pisticci,https://s3-media1.fl.yelpcdn.com/bphoto/_6myAQed_JR0PaIBfyCi5g/o.jpg,https://api.yelp.com/v3/businesses/search,865,4.0,$$,125 La Salle St,,,New York,NY,10027.0,12129323500.0
